Name,Org Type 1,Org Type 2,Org Type 3,Org Type 4,Org Type 5,Org Type 6,Primary eMail,Website,Telephones,Main Address,Main Address State,Registered Address,Registered Address State,Contact 1 Name,Contact 1 Designation,Contact 1 eMail,Contact 1 Telephones,Contact 2 Name,Contact 2 Designation,Contact 2 eMail,Contact 2 Telephones,Brief Information,Year of Establishment,GuideStar Url
PUNARVAS EDUCATION SOCIETY,Direct Service,,,,,,,http://www.punarvas.org/contact_us.html,"912228727024,912228747857,918693055590","Plot No. 312, Opp. Piramal Nagar,,S.V. Road, Goregaon (W),,Mumbai,Mumbai Suburban,Maharashtra,400062",Maharashtra,"Yashwant Nagar Co. Hsg. Soc. Ltd,Goregaon West,Mumbai,Mumbai Suburban,Maharashtra,400062",Maharashtra,Shri Udaykumar Vinzanekar,President,,,,,,,"Shri Devrajji Gundecha's Punarvas Special School & Vocational Training Centre for Mentally Handicapped was established in 1981 at Goregaon.Punaravas Education Society are providing Educational, Diagnostic & Vocational Services for the mentally challenged by specially trained personnel thereby laying a foundation for them to be integrated in the society.Punarvas is catering 175 mentally challanged children at present. Punarvas Special School are also recognized and partly funded (for 60 children) by the Social Welfare Department of Maharashtra.",1981,http://www.guidestarindia.org/Summary.aspx?CCReg=9111
Quikwit Social Welfare Foundation,Advocacy & Campaigning,Direct Service,Intermediary,Network,Support,,,http://www.Quikwit.org,918197136333,"Opp Forest Gate, B M Road, Periyapatna,Mysore,Mysuru (Mysore),Karnataka,571107",Karnataka,,,,,,,,,,,"Quikwit Foundation has successfully sponsored numerous projects including Scholarships to students and women, Free Solar study lamps, Free Notebooks and Yearly Bus Passes to rural and underprivileged girl students, Free Job Portal, Free Spoken English classes to visually impaired, Free Blankets and medicines to elders living in Old Age Homes, Tree plantation, Free Awareness and Medical camps in rural India.",2015,http://www.guidestarindia.org/Summary.aspx?CCReg=9159
RESTORATION MINISTRIES,Advocacy & Campaigning,Direct Service,Network,Support,,,,www.restorationindia.in,919849732517,"Door No : 42-15-1924,Maddiralla Colony,,Guntur,Andhra Pradesh,522001",Andhra Pradesh,,,Peter Deva Junapudi,Correspondent & Executive Board Member,restoration243@gmail.com,91-9849732517,,,,,"Legal Status and Key Information about the Organization:Restoration Ministries is a Secular, Voluntary Organization, Non-profitable and Peoples participatory as well as Community based programs carried out for the sake of poor and needy felt needs fulfillment through the Case work practice, Group work practice, Community organization and Social Action practice for the Welfare and Development activities at the Tribal, Rural, Remote, Slums and unidentified communities in the deserving areas without any Caste, Color and Gender discrimination.Restoration Ministries was registered under ACT 35 OF 2001, Society No. 243/2005,   and Registered under Section 12A & 80G of the Income Tax ACT 1961 and Foreign Contributions and Regulation ACT 2010 for carrying out activities in the areas of:Relief to the Poor for the Survival.Medical Assistance to the Needy People.Education for the Transformation Felt needs and livelihood initiatives.General Public Utility Up-lifting the living conditions of poor people-socially and economically oppressed and backward People.•	Provided assistance for the Qualitative, Bright Career based Education to 705 poor and needy children, young adults through Residential Schools/ Colleges, and also will have tie up with Gurukulam, APRJC, and Corporate Institutions etc  •	Provided Free Medical Assistance to 2311 poor people, through referral Hospitals like Leprosy, T.B,Caner, STDs, HIV/ AIDS and Rehabilitation to Health Victims.  •	Provided special care for neglected and deserted 541 Orphans, widows, Old Age People welfare. •	Provided rehabilitation to People with Disabled 705, like Polio, Crippled, Blind, deaf and dumb, mentally retarded.  •	Community Development Projects implemented for the empowerment of 2704 needy people with asset creation, resources establishment and network with Government Departments.   •	 Disaster Preparedness and an emergency relief services to the 5090 victims of natural calamities such as fire, floods, cyclone, Tsunami, drought etc.. •	Established and rehabilitation 7 Homes for Street children, domestic children, bonded labour children and the victims of Juvenile Delinquents, trafficking victims.    •	Ecological and watershed 5 program's for drinking water, horticulture, poultry, and animal husbandry and to keep environment, safe heritage etc... •	Generated 15 awareness camps about Values, Human (Children, Women, Men and Deserving people) Rights, Social Evils.",2005,http://www.guidestarindia.org/Summary.aspx?CCReg=9152
S. K. SEWA SAMITI,Direct Service,Support,,,,,,,"919928949045,911542452996","Chandni Chowk Purani Abadi,,Sri Ganganagar,Rajasthan,335001",Rajasthan,,,,,,,,,,,"S. K. Sewa Samiti is located in Sri Ganganagar, Rajasthan.",1988,http://www.guidestarindia.org/Summary.aspx?CCReg=9108
Sahara Welfare Society,Direct Service,,,,,,,,"919423344655,919175337028","College Road,Taloda,Nandurbar,Maharashtra,425413",Maharashtra,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9034
SARVA SIDDHANTA CHARITABLE TRUST,Direct Service,,,,,,,,"919462277777,911412592630","B-17, Madhuban Colony, Tonk Road,,Jaipur,Rajasthan,302015",Rajasthan,,,,,,,,,,,"Sarva Siddhanta Charitable Trust is located in Jaipur, Rajasthan.Sarvsiddhanta Charitable Trust has been involved in various activities related to basic and professional education, health care, women empowerment, support to elderly, and has established a number of educational institutions Main Objectives of Sarvsiddhanta Charitable Trust include :•	Educational Objectives ( Skill Development, School education, technical education, educational research, cultural events & seminars etc., welfare programs etc.)•	Health & Medicine•	Environmental education programs•	Women Empowerment•	Social Service Programs•	Other objects of general public utility",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9107
Sevak Sangha (Chak-Kandu),Direct Service,Support,,,,,,,"+918137000624,+919732650948,913220277339","Vill+Po-Mathura ,Ps-Patashpur,Patashpur,East Medinipur,West Bengal,721456",West Bengal,,,Pallab Jana,Director,sevaksanghachakkandu@gmail.com,91-8137000624,,,,,"Sevak Sangha (Chak-Kandu) is located in East Medinipur, West Bengal.",1980,http://www.guidestarindia.org/Summary.aspx?CCReg=9123
Shikshit Rojgar Kendra Prabandhak Samiti,Support,,,,,,,http://www.srkps.org,"919414080218,911592234664","1/129 Housing Board, Jhunjhunu,Jhunjhunu,Rajasthan,333001",Rajasthan,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9153
SHRANKHLA FOUNDATION,Direct Service,,,,,,,http://shrankhla.org/,919811636208,"E-597,Street No.4,Indira Gali,Jagjeet Nagar,New Delhi,Delhi,110053",Delhi,,,,,,,,,,,"Shrankhla provide best education for the needy children. We believe that healthy mind lives in healthy body. We usually plan outing for our children so that they can explore theirself and have fun together. We are moving on our path and try to help children as much as we can. We need your support to make the diffrence. So lets make their dreams fulfill and give them a reason of smile.Infrastructure support to education centres in Rishikesh and New Delhi, benefitting over 200 children directly.",2016,http://www.guidestarindia.org/Summary.aspx?CCReg=9118
SOCIAL WELFARE YOUTH AWARENESS MAHANSAR,Direct Service,,,,,,,,918058560006,"Social Welfare Youth Awareness ,Opp. Ganga Vidya Peeth,Mahansar,Jhunjhunu,Rajasthan,331030",Rajasthan,,,Rajesh Kumar Sharma,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9167
SREE POORNA MAHAMERU TRUST,Direct Service,,,,,,,http://www.sripoornamahameru.org,"914422472483,919444868282","1, Sankara Salai,,Subham Nagar, Old Pallavaram,Chennai,Tamil Nadu,600117",Tamil Nadu,,,Sesshadri Srinivasan,,,,,,,,"1) Provide all the support to senior citizens staying in this old age till their last irrespective of their religion,caste, gender or race2) Free food for people during mornings and evenings3) Provide basic medical facilities to the needy.",1993,http://www.guidestarindia.org/Summary.aspx?CCReg=9155
SRI DHANVANTRI TRUST,Direct Service,Network,,,,,,www.pennalamhospital.org,919840038198,"SP 98 , 1st Main Road , Ambattur Industrial Estate , Ambattur ,,Chennai,Tiruvallur,Tamil Nadu,600058",Tamil Nadu,,,Radhika Santhanakrishnan,,,,,,,,"Penn Nalam – A unit of Sri Dhanvantri Trust is a nonprofit organization was started on 24.08.2009 at the best initiative to Educate, Care, Screen, Diagnose, Treat and Counsel women and her family about positive health with goals set to maximize cancer awareness programmes with simultaneous cancer screening programmes for women from various walks of life. We offer treatment to cancer affected women at low cost without profit motive.  We have so far conducted 645 awareness programme along with various screening programmes in Chennai and surrounding rural areas in TamilNadu for women and sensitized 164249 women.We have 9467  patients enrolled till date. The motto is “To save lives of women from cancer on time”.",2009,http://www.guidestarindia.org/Summary.aspx?CCReg=9137
SRIJANI SANSTHA,Support,,,,,,,,"919674080914,917003991389","Post & Village - Chhotajagulia,P.S. - Duttapukur,Barasat - 1,North 24 Parganas,West Bengal,743294",West Bengal,,,Swapan Kumar Bose,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=8927
TRIBAL WELFARE SOCIETY,Advocacy & Campaigning,Direct Service,,,,,,,919864841089,"Plot No.1, West Kidwai Nagar, New Delhi-110023,West Kidwai Nagar,South Delhi,Delhi,110023",Delhi,,,,,,,,,,,"The organization is working in the field of education, health, handicrafts, culture, environment, skill development, training programmes etc.There would be around 50 people involved directly and indirectly with the organization for welfare of the poor people.",1994,http://www.guidestarindia.org/Summary.aspx?CCReg=9099
WOMEN'S SYNERGY,Direct Service,Support,,,,,,,919711073161,"81 Anupam Apartments, B 13 Vasundhara Enclave,,Delhi,East Delhi,110096",Delhi,,,Vaidehi Krishnan,,,,,,,,"Women's Synergy is a non-profit Trust registered in Delhi and operational in Delhi-NCR & Bengaluru (Karnataka) for empowering women through Synergies and Symbiotic relationships among women from an eclectic mix of backgrounds, with particular focus on 'circumstantially' (physically, psychologically, financially, socially) challenged women. Our vision is to create an eco-system for Indian women in the form of a Resource pool created by women’s own efforts and with the backing of ‘WS’ that would serve as a fall back at ready reach for them, including their less advantaged counterparts, in their times of utmost need!Our programs, activities and all that we do are hinged around emotional wellness of women, with their holistic states of well-being in mind.  Due emphasis is given to the need for women to articulate their problems, take self-initiatives for growth and development and be proactive partners in their own progress.  Our programs are not interventional in nature and are not restricted to any particular geographic focus as we believe that if that were so, any and all women falling out such identified zones would be deprived of support, lest they should be seekers - especially those, proactive ones seeking solutions for themselves.  We now have our presence in Delhi-NCR and Bengaluru as well.",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9140
AALAYAM KANDEN TRUST,Advocacy & Campaigning,Direct Service,Grant-making,Network,Support,,,www.aalayamkanden.org,919790918056,"Flat A Nutech Saradambal Apartments,No 36 Kripasankari Street West Mambalam,Chennai,Tamil Nadu,600033",Tamil Nadu,,,Padmapriya T S,,,,,,,,"Aalayam Kanden Trust has been created in order to create awareness about ancient, unique and lesser known heritage sites of India. It does this through articles, publications, cultural documentation, supporting maintenance and training public and locals on appreciating the historical, architectural and mythological specialities of these sites for better patronage & sustainability.",2011,http://www.guidestarindia.org/Summary.aspx?CCReg=9247
ABNER CHILD CARE FOUNDATION,Direct Service,,,,,,,,"916612480851,916612480851","ECR -46, Phase - I,Chhend Housing Colony, Rourkela,Rourkela,Sundargarh,Odisha,769015",Odisha,,,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9210
ACE Social Foundation,Direct Service,,,,,,,http://www.acesocial.org,"914065503342,914065503342","Flat No: 101,6-3-1219/6/1, NCR Subbamma Towers, Uma Nagar, Begumpet,Lane Before Lifestyle,Secunderabad,Hyderabad,Telangana,500016",Telangana,,,SV Krishnan,,,,,,,,"ACE Social Foundation is a 4-year-old registered ""Not for Profit"" foundation that has been championing skill development & employment opportunity creation for PwD's in India.Our process begins with educating & sensitizing corporates about the abilities of the disabled through Dialogue in the Dark. Dialogue in the Dark- DID is an international empathy experience that puts visitors through daily life situations in complete darkness in a fun & entertaining way. DID heightens one’s awareness and sensitize the society about the abilities of disabled.Since 2014 as a result of DID sensitization, we have trained 4100 PwDs, received 8000 job pledges& created 3000 jobs for PwDs, across 18 sectors creating a new Rs. 21 crore PwDs economy. ACE Take1",2013,http://www.guidestarindia.org/Summary.aspx?CCReg=9183
ADARSHA COMMUNITY DEVELOPMENT SERVICE TRUST,Direct Service,,,,,,,,"919008242362,918746090910","#118/4, B.Narayanaswamy Building, Immadihalli, Whitefield, Bangalore,Bangalore,Bengaluru (Bangalore) Urban,Karnataka,560066",Karnataka,,,Nawaz Pasha,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9220
Ankur Kala,Direct Service,,,,,,,http://www.ankurkala.org,913322878476,"72B,,Park Street,Kolkata,West Bengal,700017",West Bengal,,,,,,,,,,,"Ankur Kala is a Women's Organisation, started in the year of 1982, by a group of women led by Annie Joseph, a qualified social worker from the Tata Institute of Social Sciences, Mumbai. Ankur Kala was the pioneer for providing economic empowerment for these voiceless women of West Bengal. Apart from giving various skill trainings, Ankur Kala specializes in imparting simple business management courses which has help numerous women to set up their own enterprises successfully. Presently Ankur Kala is working with 950 Women.",1982,http://www.guidestarindia.org/Summary.aspx?CCReg=9209
Bagnan Human Rural Development Society,Direct Service,,,,,,,https://www.bhrds.in,919831194195,"Vill- Beral,  P.O. -Chitnan,P.O.- Chitnan,Howrah,West Bengal,711303",West Bengal,"Vill Beral PO Chitnan,PO Chitnan,Vill Beral,Howrah,West Bengal,711303",West Bengal,Sk. Altab Ali,,,,,,,,"BHRDS is a not for profit making social welfare organisation working for the down trodden since 2004. It is managed by a group of dedicated youth and it has impacted a lot to the rural and urban population of Howrah, West Bengal. Specially Bagnan-I & II, Amta-I & II, Uluberia-I Block and Uluberia Municipality are coverage area of the organisation.",2004,http://www.guidestarindia.org/Summary.aspx?CCReg=9227
BHARAT RATNA DR.B.R.AMBEDKAR SOCIAL WELFARE ORGANISATION,Direct Service,,,,,,,,919437742695,"Qr.No.MB-199, Madhuban, PO.Paradip Port,Paradip Port.,Jagatsinghapur,Odisha,754142",Odisha,"Qr.No.MB-199, Madhuban, PO.Paradip Port,Paradip Port,Jagatsinghapur,Odisha,754142",Odisha,,,,,,,,,,,http://www.guidestarindia.org/Summary.aspx?CCReg=9244
Bithari Disha,Advocacy & Campaigning,Direct Service,Network,,,,,http://www.bitharidisha.org.in,"919593665388,918777475992,919748711447","Village and P.O. - Bithari, P.S. Swarupnagar,Barasat,North 24 Parganas,West Bengal,743286",West Bengal,"Village and P.O. - Bithari, P.S. - Swarupnagar,,Barasat,North 24 Parganas,West Bengal,743286",West Bengal,Snigdha Bairagi,Director - Programme,snigdhabairagi555@gmail.com,91-7890324881,,,,,"Bithari Disha is an NGO registered under West Bengal society registration Act 1961 in the year of 2002.The organisation has a proven track record of working in   partnership with different  Governmental  and Non- Governmental agencies for bring about the changes and  improvement of quality of life of the community people.The activities being implemented are Water quality monitoring, installation of household & community toilets, construction of rainwater harvesting structures, hygiene awareness camps, etc.,Repair/renovation of water sources, household sanitation, surface water treatment plant, hygiene awareness camp, water sources maintenance and management etc., livelihood, Education covering 1 lakh families.",2002,http://www.guidestarindia.org/Summary.aspx?CCReg=9200
